X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-65.78333333,-28.46666667,train,2.0344186258839614E-4,9.53165381367583,0.2386988277412434
-65.38333333,-30.63333333,train,3.0677429845413554E-4,14.668577459598822,0.33717858336041606
-60.716667,-31.65,train,2.66350796621577E-4,13.01673130885909,0.3002691436043494
-66.35,-33.3,train,8.12346495682712E-4,41.289106123732424,0.6634471508898462
-65.5,-36.2667,train,9.579419894990107E-4,51.39423754696018,0.7231223972582193
-64.283333,-36.616667,train,0.0012018931376375764,67.02140027113475,0.8003543332258012
-64.35,-36.6667,train,0.0014156657121403668,76.53514395627643,0.850099920105728
-65.65,-37.95,train,0.0014364304637150918,77.39156324512568,0.8542150602247699
-62.216667,-38.1,train,9.513467021536287E-4,50.832759466310485,0.7206635619098791
-65.5,-38.15,train,0.0013877947148917512,75.2704153003814,0.8443932934607755
-59.0073,-38.1763,train,4.2086728142426834E-4,19.752572260557486,0.4311840121393046
-64.0,-38.58,train,0.0029233755736261663,95.03629737289285,0.9801383290023983
-69.55,-38.89,train,4.4198588056727355E-4,20.77215048645591,0.4470618148803599
-70.6,-39.65,train,8.746321351693808E-4,46.0097366082174,0.6904073229231165
-70.73,-40.12,train,9.325879438093008E-4,49.796505164040454,0.7135499464555535
-67.2833,-40.5,train,8.808651270128856E-4,46.800532375347984,0.6929834108727208
-62.9967,-40.8135,train,0.0032296183698617945,95.99182588876909,0.9868258757249502
-68.702,-41.25,train,4.529255348699783E-4,21.278449897446006,0.4551116345598968
-69.8667,-41.3667,train,7.712704103439972E-4,38.55179002850811,0.6443951320501682
-64.5,-42.4526,train,0.001574997733897131,80.89694456518194,0.8789293048253519
-71.62,-46.55,train,0.002305677400687251,91.40163938317635,0.9545390408408243
-72.5,-49.54,train,0.0010152205793567824,54.566671812843154,0.7435868287883971
-69.22,-51.63,train,0.002248780559635483,91.1710844437309,0.9509358999618193
-60.873056,-29.310294,train,2.261018529809241E-4,10.819800099272943,0.26147722785398453
-60.933333,-31.45,train,3.7399869575184644E-4,17.574352598661708,0.3942985623768064
-61.843611,-32.589444,train,6.368958157224624E-4,31.01157914922491,0.5742051986703613
-68.63333,-37.7,train,5.175665509429589E-4,24.795883302219547,0.5003410778254636
-62.93333,-38.7,train,0.0031854523721618682,95.66889331575334,0.9860223190360828
-62.7,-38.816667,train,0.002646852494014171,93.64103046562607,0.9712255491764957
-71.5,-40.966667,train,1.2598845452171072E-4,6.3506776066707324,0.15540260206955803
-68.9,-45.533333,train,0.0010242563981877157,55.280659765466325,0.7466740431343246
-67.5,-45.866667,train,0.0017153817311274522,85.02643050633407,0.8996984336815346
-67.65,-46.066667,train,0.0021421909375513555,90.2932417436637,0.9433995177769166
-70.233333,-48.75,train,8.573775587445915E-4,44.817631425040794,0.6831627288011757
-68.5,-49.9,train,0.0017520374860578967,86.11749849115685,0.9045080421300675
-72.35,-51.266667,train,0.0017374560711785696,85.35159738235177,0.902623071363192
-72.633333,-51.633333,train,0.002082189293794699,89.44564962682118,0.9386586987166419
-65.95,-37.95,train,0.001508332822719656,78.86954637842376,0.867611204042897
-63.5337,-37.7471,train,0.0017753072873879635,86.40141620908577,0.9074408922264308
-69.5,-50.11,train,0.001110902719115069,60.48357519473836,0.7744544031301377
