Predictor variable,Categorical,Sample average
elevation,false,382.0
max temperature of warmest month,false,25.875
mean diurnal range,false,11.410571992397308
min temperature of coldest month,false,5.3125
precipitation of coldest quarter,false,180.3125
precipitation of driest quarter,false,4.1875
precipitation of warmest quarter,false,4.3125
precipitation of wettest quarter,false,182.6875
precipitation seasonality,false,108.47988939285278
temperature annual range,false,20.5
