X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-71.3333,-29.95,train,0.01739911987065547,46.07787682520687,0.7458267821923814
-70.9728,-29.9657,train,0.017330723208785256,44.33850481205948,0.7444544947814915
-71.2667,-33.0167,train,0.038403835433164606,87.28784092943305,0.9513609103687081
-71.5667,-33.0333,train,0.028782549076713532,66.06788204857486,0.8962629081678579
-71.15,-33.4,train,0.027632781226715978,63.189509429240296,0.886435065375484
-70.55,-33.4167,train,0.01005244341902964,25.434773256988056,0.5467787647830515
-70.67,-33.45,train,0.03017921405859013,69.08570858616179,0.9070643051717328
-71.067028,-28.041281,train,0.007247794437097695,17.450091371975045,0.4348024368700816
-71.129589,-28.19355,train,0.007083673655960567,16.72532152029044,0.4274525081690128
-70.993878,-28.236103,train,0.00786555852146298,19.014047396059258,0.46163213526743385
-71.283333,-32.566667,train,0.04218929274701293,95.58845333740574,0.9638954537486683
-70.95,-32.833333,train,0.03507147574205544,76.0449461460277,0.9367707945022625
-70.966667,-32.85,train,0.023187118795074103,60.42625465830359,0.8388464048672322
-71.133333,-32.95,train,0.03575868984122947,79.62091726248596,0.940100651379113
-70.89642,-33.88883,train,0.009407283388766702,23.48514380448452,0.5231650714354124
-71.5,-30.33333,train,0.01644288606154156,37.55094516128358,0.7259542268169731
