X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-52.9157,-33.09769,train,7.682977258460055E-5,16.198071834947218,0.4203582989036292
-52.5775,-32.7316,train,9.115427013182292E-5,25.470793746204528,0.4763971415995297
-52.54,-32.54,train,9.03449111609747E-5,25.031237123583075,0.4733804343455491
-60.80003,-31.93334,train,6.332775791826905E-5,9.089117861404143,0.3620571158825009
-51.9667,-31.3667,train,1.036944170587369E-4,33.01011475421824,0.5209895933852678
-52.58712,-30.33419,train,9.522626696841165E-5,28.286890034085115,0.49131443887852566
-50.38836,-29.42841,train,1.2182249278067076E-4,41.786883093036764,0.5788253909571537
-49.83831,-29.32571,train,2.18688003042246E-4,73.21737298418101,0.7882329652281013
-51.82011,-29.30413,train,2.5835087334036077E-4,81.32237206847394,0.8401947469093265
-51.88293,-29.27008,train,2.2150214238133304E-4,73.69511301840993,0.7924210506952712
-50.09881,-29.15548,train,1.389524452653167E-4,48.4508402979171,0.6270451211890619
-51.67511,-29.06744,train,1.572824796640209E-4,55.83792024401824,0.6725455062651221
-49.83307,-28.78279,train,2.5221037568238597E-4,80.27698352399119,0.8330754774805831
-50.06548,-28.74882,train,1.5038880534311131E-4,53.28531488560086,0.6561240234593831
-59.466667,-28.240278,train,9.169169269995484E-5,25.848353937816693,0.4783907126174667
-50.55358,-28.23208,train,1.9892599093762096E-4,68.3866348272376,0.7563435009883075
-50.68509,-28.15425,train,2.1922869168642767E-4,73.32220152023748,0.7890441398886407
-49.48424,-28.08975,train,2.278671744871446E-4,75.39858403507142,0.8015906868231482
-53.3924,-28.0646,train,1.5377983887152966E-4,54.59481076141955,0.6643022583838549
-50.85464,-28.03396,train,2.2650414881890085E-4,75.0174658737038,0.7996617831366934
-56.34052,-28.00377,train,1.355394656487323E-4,47.241753468254664,0.6178997143944926
-48.6425,-27.86,train,2.3861255522939187E-4,77.69051292779878,0.816160997517107
-51.6944,-27.8124,train,3.070297867910312E-4,87.61748846005327,0.886882365425543
-55.52678,-27.66179,train,1.758175961939524E-4,61.60157595606415,0.7129130724693871
-53.6467,-27.5865,train,1.505257121018873E-4,53.343209008406525,0.6564580320291594
-58.8565,-27.5444,train,1.4611644146044742E-4,51.20463298280391,0.6455360283904024
-53.40337,-27.48383,train,1.5629629045120353E-4,55.516113510134005,0.670245261663064
-55.6,-27.35,train,1.7165199844761917E-4,60.261477081238056,0.7042977998965507
-53.42606,-27.279,train,1.320899124771921E-4,45.757046480336086,0.6084284088456222
-49.7121,-27.2203,train,3.5019134421017395E-4,90.5635594870141,0.9167320766684276
