X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-66.866667,10.55,train,5.606688642996774E-4,46.94344473468136,0.6812638732146188
-66.96666667,10.38444444,train,8.280153096064699E-4,52.27002724339239,0.815222097687692
-66.9,10.283333,train,2.826275484104841E-4,39.625169346101686,0.438066793707376
-83.9167,10.15,train,0.002212880340007983,74.8332503877545,0.9890323428912796
-73.0,10.0,train,0.001720289132244616,67.79396998078643,0.9700506018230689
-83.916667,9.85,train,0.0024426771813714754,76.85201093534305,0.9931358109148776
-84.131667,9.699444,train,0.0019159813638318312,70.02033062802109,0.979905880924392
-71.0,8.666667,train,0.001724257260901839,67.87234217057913,0.9702919846662008
-71.0,8.566667,train,0.0017378188407777577,68.14017572201473,0.9711023499173076
-62.723889,8.297778,train,7.637729826096714E-5,15.60639085810106,0.14423451537330223
-72.083333,8.0,train,0.0025289521584814095,78.58391778444074,0.9942432428686967
-63.025,7.79388889,train,1.3630707358181366E-4,28.22051329123636,0.2426848536887245
-62.366667,7.183333,train,1.451914869145418E-4,29.82462811090966,0.2562825581965079
-66.67944444,6.44222222,train,1.165750537998755E-4,24.456455815260803,0.21158888187424996
-61.4425,5.938333,train,0.0023156147922014565,75.4208273421027,0.9911054324547338
-73.46,5.707,train,0.0031342896532646648,87.05759809145306,0.9983248741382049
-55.1,5.616667,train,8.8459231811322E-5,18.28197282970806,0.16506217532866707
-74.05,5.47,train,0.0031723809650504135,87.68837549041551,0.998450073742763
-75.383889,5.229444,train,0.003290909150444539,90.26715815584109,0.9987828784785603
-52.333333,4.933333,train,5.509795393557149E-5,10.355718563154287,0.10628039385191423
-56.0,4.75,train,1.2144998072778415E-4,25.25728307472771,0.2193881247470284
-75.63,4.62,train,0.003285846945745299,89.93810833112462,0.9987702484044626
-74.08333333,4.6,train,0.0031985570256457397,88.32744529394277,0.9985306419656576
-73.633333,4.15,train,1.8379774236027048E-4,34.40362585284868,0.31259056669938245
-75.154444,4.0925,train,2.605340213991571E-4,38.742014004430885,0.4121692311241538
-65.56222222,3.58388889,train,9.154220109545578E-4,53.654236383672455,0.8453904324934102
-76.306389,3.540278,train,0.0015826594786108956,65.40199668640618,0.9603463810339392
-76.522222,3.420556,train,0.003419238946969397,91.94517656670948,0.9990631375436794
-76.349167,3.408889,train,0.001000146119723026,55.551038925023576,0.8699235741295263
-65.62472222,3.37222222,train,0.0020511063712532877,72.37356921294364,0.9847456910790251
-74.436111,3.026389,train,4.5856433580461893E-4,44.51268167779404,0.6074794380911738
-59.5,2.833333,train,8.507999334060995E-5,17.502926441952958,0.15928841325182153
-76.825833,2.704722,train,0.003297222356599554,90.59697046113847,0.9987984481625019
-76.95,2.666666667,train,0.004432778288463143,99.05690578581338,0.9998814197315208
-76.88333333,2.533333333,train,0.004634061860935263,99.52032050852286,0.9999213423065612
-76.4,2.5,train,0.0019914774962873404,71.76120036834122,0.982773217852482
-75.883,2.383,train,0.0026039720456656873,79.61748194177316,0.9950599096165448
-75.788056,2.063889,train,8.097341449538188E-4,51.753330371450204,0.8082032923070664
-76.856389,1.915278,train,0.003493996652397382,93.67422034840023,0.9991956130250341
-77.256389,1.634722,train,0.0037910131596951327,96.22718695551083,0.9995610593237456
-75.98333333,1.616666667,train,6.237064843651253E-4,47.88938319282969,0.7197144964937905
-75.6,1.6,train,1.9411207041647961E-4,35.20688208392211,0.32689878236659853
-77.391111,1.4075,train,0.0034572316293169643,92.97774946543149,0.9991329846612362
-77.37,1.218,train,0.0038309564834550494,96.6102185835214,0.9995953969564557
-51.45,0.7,train,7.254721176312511E-5,14.766916556713094,0.13752410389753067
-78.27,0.13,train,0.001974044170283283,71.01366593598425,0.9821497472387034
-78.598,-0.171,train,0.003538874612445806,94.37799982386899,0.9992659631253008
-74.778889,-0.197222,train,1.4048073074985221E-4,29.00668503246224,0.2491033763606767
-78.17,-0.3,train,0.0014060494158611007,62.34051910200319,0.9431538031078848
-78.967,-0.433,train,0.0019784339176119573,71.16619093266122,0.9823088325215577
-75.53333333,-10.06666667,train,0.0011495233825199753,57.896224330717295,0.9040821716304109
-75.316667,-11.05,train,0.0012522780869187765,59.448508726394074,0.922215623663142
-75.6772,-11.3683,train,2.367010384592489E-4,37.61539192656627,0.3828929327422268
-69.16666667,-14.18333333,train,6.83090216235615E-4,49.073549545683406,0.7516831854465178
-63.716667,-22.133333,train,1.3909740361015074E-5,1.5326402345055574,0.027968066890713406
-64.82448,-23.81326,train,6.309255488452387E-6,0.5600320052863511,0.012784264386135669
-64.58124,-23.69951,train,4.2824090390704E-6,0.36306777237546456,0.00869524295856372
-76.54139,3.785,train,0.0036792779180978242,95.1008203091056,0.9994487271524092
-84.4598,11.0204,train,6.769320183696503E-5,13.671869874132364,0.12894409913004135
-73.0987,6.13823,train,0.003135195572851153,87.36959839375253,0.998327966032088
-76.133,-9.633,train,9.656900390635125E-4,54.82336262056623,0.8604546463055356
-59.08242,2.83333,train,1.1496542903219414E-4,24.20979058483889,0.20899661935919622
-83.526,9.474,train,0.00203923383328267,72.16858740941164,0.9843718449409272
-83.667,9.5,train,8.415149971748197E-4,52.52084726050902,0.8202397194047276
-77.01,2.24,train,0.0034969782132926418,94.0237607889967,0.9992004891815698
-83.91667,9.65,train,0.002624841961772108,80.1421914838348,0.9952657521058396
-67.79955,-16.26094,train,7.60025472259755E-4,50.28968927194761,0.7877407002888344
-68.19286,-14.46432,train,8.967726313217656E-4,53.033184401258104,0.8393970203309471
-69.04319,-14.62528,train,4.911790229101135E-4,45.37706026779052,0.6327375753956811
