Predictor variable,Categorical,Sample average
elevation,false,420.8125
max temperature of warmest month,false,31.7125
mean diurnal range,false,11.968434917926789
min temperature of coldest month,false,13.45
precipitation of coldest quarter,false,88.5625
precipitation of driest quarter,false,71.375
precipitation of warmest quarter,false,476.7
precipitation of wettest quarter,false,647.3625
precipitation seasonality,false,68.94309284687043
temperature annual range,false,18.3625
