X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-52.366667,-29.983333,train,0.0038630782444095497,57.66229842150752,0.7691717560805835
-58.3,-33.12,train,8.769135748933263E-4,13.268503500559357,0.2830853652526758
-57.37,-33.38,train,0.0017338034233146267,24.528682573196612,0.4821127791355295
-54.92,-33.5,train,0.004928009159508552,68.61748448104446,0.8459124859044292
-55.5333,-33.6833,train,0.004093084361653082,60.07844294108387,0.7884663667100368
-56.75,-33.95,train,0.004423691332110734,64.34676037619738,0.8134097628352368
-58.074029,-34.138343,train,0.00205780992242349,30.029310894178515,0.5420347033017321
-57.89,-34.18,train,0.003022411229649866,44.488785360938465,0.6824242315058101
-58.05,-34.2,train,0.003625063879714456,55.02440041897765,0.7473505352394805
-55.92,-34.23,train,0.005962448611511296,77.2441875089252,0.8959429424838512
-57.6,-34.27,train,0.0035301728667021985,54.30350973919575,0.7380862598643684
-56.8,-34.62,train,0.007305732708471907,85.8071931490786,0.9375011568022945
-56.45,-34.73,train,0.008393845057138229,89.03268762797474,0.9586448381105065
-57.593797,-27.439933,train,0.0011637607419653741,17.043322476095923,0.3570319280987754
-57.551944,-28.821583,train,9.407534998846623E-4,14.607538354440287,0.3002460247044555
-56.020692,-28.910134,train,0.002207622717963938,33.63865754658739,0.5673462393146103
-53.666667,-29.216667,train,0.0015154174856009694,22.565785086510267,0.4373614567612746
-54.770556,-29.7175,train,0.0041775318755295915,61.327019089077005,0.7951382763097941
-55.8,-29.7833,train,0.0028013611997811778,40.41158422779946,0.6546330799790743
-52.8833,-30.0333,train,0.012310657301907557,99.99994475653354,0.990646756176575
-53.616336,-30.121694,train,0.008620977860751713,90.74401288423145,0.9620603093901661
-52.3333,-30.1667,train,0.008871060884602693,92.49816300194892,0.965495542913568
-53.562403,-30.195058,train,0.005884728291914987,76.64794892992208,0.8928279905400469
-54.5167,-30.25,train,0.005581052236282862,74.93043763246972,0.8797366926897553
-52.85,-30.2667,train,0.011317029796221751,97.63381940866925,0.9863626007697951
-53.1167,-30.2833,train,0.011047174781243707,96.50128958744514,0.9848919312294803
-56.5,-30.3,train,0.0015304804218155303,22.871466161565934,0.44056863389936807
-50.945203,-30.415234,train,0.0034706842342988892,53.251524938177525,0.7321058835879325
-54.85,-30.8833,train,0.0063843399661576835,80.30416005810929,0.9113383984249054
-55.5333,-30.8833,train,0.004649570893855242,65.71178825578971,0.8287385821081857
-54.6667,-30.9833,train,0.008097935058727065,88.19326633143513,0.9537297872905772
-51.766667,-31.283333,train,0.003175716808389768,47.88566805008291,0.7003739341869947
-53.7667,-31.3833,train,0.0024659352844717884,36.71914430624079,0.6077476931581847
-53.3667,-31.5667,train,0.0018804295958629225,27.419709080584706,0.5101441193851919
-56.056,-31.751,train,0.0021333229472987637,31.25175812084665,0.5549728138523529
-52.58137,-32.495181,train,0.0030651659333872606,46.624511804916914,0.6875355999709651
-52.5333,-32.7167,train,0.0030167280540104465,44.18631327167967,0.6817385357802097
-58.213056,-33.545833,train,0.0013630510241716162,20.82975444393557,0.4038679647346922
-53.569444,-33.712778,train,0.0034755086490228866,53.59867390414433,0.7325959273487402
-55.020793,-34.761886,train,0.009923986187921884,95.39658398462511,0.9768616460765471
-52.62192,-30.22187,train,0.01135916899397414,98.76809966647451,0.9865789594559065
-55.65586,-29.84798,train,0.0033788353951925364,50.86046031041756,0.7226030603330308
-53.6743,-30.3712,train,0.0037175621296204092,56.13361481369302,0.7560657081360542
-54.2956,-30.3624,train,0.0054890439190640695,73.82313243725905,0.8754631381148134
-53.1695,-30.3084,train,0.007744158519049541,86.58160160113998,0.9470811000707144
-53.9737,-30.3445,train,0.0033158305234533628,49.5155548270096,0.7158902722799243
-56.476,-29.9837,train,0.0017809667502198456,25.584816902712205,0.4912999813797776
-56.2223,-29.9568,train,0.002138648406380245,31.38572283795518,0.5558713372093538
-54.1251,-30.3483,train,0.004951829437771925,69.11306993210104,0.8472991692714513
-54.1342,-31.2513,train,0.002036095799793625,29.578660207661628,0.5382451317274898
-57.15388,-29.91457,train,8.974459736009237E-4,13.53643643551107,0.2886500521774562
-52.49361,-32.24689,train,0.0028196104954566043,40.97526255269382,0.6570167622431771
-57.97462,-32.8023,train,0.001436403371306784,21.532472912090444,0.4202342500918749
